ID,Date,Month,Day,"Big, Medium or Small Cry?",Emotion?,Length of cry? (In minutes),Time,Cause,Where?,Desc,Notes
1,05/01/2026,January,Monday,Small,Sad,3,23:45,Relationship,Bed,Upcoming talk with Olivia,Journalled
2,07/01/2026,January,Wednesday,Big,Sad,30,14:00,Relationship,Olivia's Room,Break up with Olivia,
3,08/01/2026,January,Thrusday,Small,Sad,2,21:30,Relationship,Olivia's Room,Break up with Olivia,
4,09/01/2026,January,Friday,Medium,Sad,15,01:30,Relationship,Paris,Break up with Olivia,With Olivia in Paris
5,12/01/2026,January,Monday,Medium,Sad,15,21:45,Relationship,Bed,Olivia didn't tell me she was going out and crashed out over that,
6,13/01/2026,January,Tuesday,Big,Sad,30,16:30,Friends/Family,Bed,Feelings of loneliness,
7,16/01/2026,January,Friday,Big,Sad,60,00:30,Personal,Bed,Turning 20,
8,17/01/2026,January,Saturday,Big,Sad,5,14:30,Friends/Family,Olivia's Room,Loneliness,1st Big Big Sob of the year
9,19/01/2026,January,Monday,Small,Happy,1,14:30,TV,Home,The Office,
10,24/01/2026,January,Saturday,Small,Sad,3,16:00,Relationship,Outside,Break up with Olivia,Walking with Olivia
11,24/01/2026,January,Saturday,Big,Sad,120,16:30,Relationship,Olivia's Room,Olivia got with someone,
12,24/01/2026,January,Saturday,Small,Sad,3,19:00,Relationship,Outside,Olivia got with someone,Bought cigerettes 
13,24/01/2026,January,Saturday,Small,Sad,1,19:45,Relationship,Bus,Olivia got with someone,
14,27/01/2026,January,Tuesday,Small,Happy,1,02:00,TV,Bed,The Office,
15,27/01/2026,January,Tuesday,Small,Sad,4,02:15,Relationship,Bed,Olivia,
16,28/01/2026,January,Wednesday,Medium,Sad,15,23:30,Personal,Bed,"Miscellenous stuff on college, friends, relationships",
17,29/01/2026,January,Thrusday,Small,Sad,120,13:00,Relationship,Outside,Break up with Olivia,With Olivia
18,31/01/2026,January,Saturday,Medium,Sad,10,00:30,Relationship,Bed,Fear of Olivia being with someone,Drank a bottle of wine
19,02/02/2026,February,Monday,Small,Sad,4,23:45,Relationship,Bed,Olivia went out,
20,03/02/2026,February,Tuesday,Medium,Sad,10,02:30,Relationship,Bed,Break up with Olivia,Downloaded Hinge
21,10/02/2026,February,Tuesday,Big,Sad,90,00:05,Mental Health,Bed,Lowk kinda everything,
22,11/02/2026,February,Wednesday,Big,Sad,120,02:00,Relationship,Bed,Olivia,
23,11/02/2026,February,Wednesday,Small,Sad,3,23:00,Relationship,Bed,Break up with Olivia,
24,17/02/2026,February,Tuesday,Medium,Sad,15,02:30,Personal,Bed,Personal thoughts,Texting Olivia
25,24/02/2025,February,Tuesday,Small,Sad,1,18:50,Relationship,Bed,TikTok,Thought of Olivia
26,26/02/2026,February,Thrusday,Medium,Angry,10,09:10,College/Friends & Family,Bed,Missed the bus and feeling overwhemled over being at home,
27,01/03/2026,March,Sunday,Small,Angry,10,00:10,Friends/Family,Bed,Diet culture at home,
28,02/03/2026,March,Monday,Medium,Frustrated,15,17:00,Personal,Home,Broke and need money,
29,05/03/2026,March,Thursday,Medium,Sad,15,00:35,Relationship,Bed,Break up with Olivia,
30,09/03/2026,March,Monday,Big,Sad,25,00:10,Relationship,Bed,Missing Olivia,Watched a TikTok
31,09/03/2026,March,Monday,Big,Sad,25,17:30,Friends/Family,Home,Tom,With Mom
32,13/03/2026,March,Friday,Small,Sad,2,01:30,Relationship,Bus,Olivia,
33,13/03/2026,March,Friday,Big,Sad,20,02:30,Relationship,Bed,Break up with Olivia,
34,13/03/2026,March,Friday,Medium,Sad,15,12:50,Relationship,Bed,Break up with Olivia,Texting Olivia
35,18/03/2026,March,Wednesday,Big,Sad,50,00:45,Relationship,Bus/Outside,Kissed someone,Soccer Pratice/Moon Song on Loop
36,20/03/2026,March,Friday,Small,Sad,1,16:35,Relationship,Olivia's Room,Talk (or lack of) with Olivia,Alone in her room
37,22/03/2026,March,Sunday,Big,Sad,20,13:20,Mental Health,Bed/Home,Existence,
38,22/03/2026,March,Sunday,Big,Sad,20,14:30,Mental Health,Bed,Going through it,"Rolled a rollie, went to crosshaven and bought a vape"
39,22/03/2026,March,Sunday,Big,Sad,20,19:00,Personal,Bed,Going through it,
40,22/03/2026,March,Sunday,Big,Sad,15,21:30,Personal,Mom's Room,Everything,With Mom
41,24/03/2026,March,Tuesday,Medium,Sad,10,13:05,Relationship,College,Asked Olivia to go non contact for a bit,With Olivia
42,04/04/2026,April,Saturday,Big,Sad,10,15:00,Mental Health,Bed,Upcoming months ahead,
43,05/04/2026,April,Sunday,Big,Sad,40,19:20,Mental Health,Bed,Fear of summer,On the floor
44,07/04/2026,April,Tuesday,Small,Sad,2,16:30,Relationship,Home,Not Olivia's no.1 bsf on SnapChat anymore,
45,07/04/2026,April,Tuesday,Big,Sad,30,17:15,Relationship/Mental Health,Bed,Everything,
46,09/04/2026,April,Thrusday,Big,Sad,80,00:40,Mental Health,Bed/Outside,Loneliness/Depression,On the phone with Olivia
47,15/04/2026,April,Wednesday,Medium,Sad,40,19:20,Mental Health,Room,Loneliness/Depression,In therapy
48,16/04/2026,April,Thrusday,Big,Sad,30,20:30,Relationship,Bed,6 months since break up,
49,17/04/2024,April,Friday,Medium,Sad,30,21:30,Relationship,Bed,Missing Olivia,
50,19/04/2026,April,Sunday,Big,Sad,30,23:35,Relationship/Mental Health,Bed,Everything,
